ID,Avg. err.,error,RMS,error1,AUE,error2,tau,error3,R,error4,Err. slope,error5,Max. err.,error6
004,0.13,0.13,1.4,0.12,1.1,0.1,0.73,0.06,0.93,0.02,0.99,0.07,4.98,0.47
005,-0.42,0.18,1.22,0.15,0.96,0.12,0.78,0.06,0.96,0.01,1.06,0.05,1.81,0.67
014,1.11,0.57,3.07,0.72,1.9,0.51,0.36,0.15,0.71,0.26,1.01,0.1,10.69,0.7
015,1.02,0.49,3.09,0.46,2.02,0.34,0.36,0.09,0.65,0.2,1.0,0.07,10.37,0.42
137,2.24,0.23,2.89,0.3,2.48,0.2,0.7,0.06,0.89,0.03,0.7,0.08,8.38,0.5
138,0.51,0.29,2.0,0.23,1.66,0.2,0.65,0.06,0.9,0.05,0.57,0.08,5.25,0.23
141,-0.07,0.28,1.46,0.18,1.07,0.11,0.74,0.07,0.93,0.02,0.72,0.08,6.02,0.46
145,-0.44,0.16,1.23,0.16,0.87,0.09,0.81,0.03,0.98,0.01,0.86,0.08,1.24,0.89
149,0.03,0.24,1.46,0.14,1.12,0.12,0.73,0.05,0.94,0.02,0.55,0.04,2.74,0.89
152,-3.48,0.98,5.52,1.25,4.05,0.85,0.39,0.08,0.57,0.17,0.31,0.06,3.93,3.84
153,-2.35,0.52,3.95,0.4,3.07,0.41,0.49,0.04,0.75,0.1,0.57,0.06,2.95,0.77
158,0.55,1.76,10.14,1.91,7.23,1.09,0.63,0.05,0.48,0.08,0.09,0.02,9.29,6.1
166,-0.38,0.22,1.58,0.09,1.24,0.08,0.7,0.05,0.92,0.05,1.28,0.03,3.55,0.33
167,-0.41,0.52,4.48,1.2,2.15,0.61,0.49,0.12,0.57,0.14,1.2,0.08,4.94,3.18
168,-0.42,0.89,4.53,1.49,2.22,0.72,0.49,0.11,0.56,0.17,1.18,0.08,4.91,5.36
169,-0.53,0.29,2.32,0.32,1.75,0.24,0.51,0.1,0.83,0.07,1.15,0.06,4.26,1.42
178,0.25,0.17,1.52,0.11,1.28,0.11,0.71,0.05,0.93,0.02,1.32,0.03,3.42,0.16
179,0.24,0.29,1.55,0.2,1.23,0.16,0.68,0.07,0.92,0.02,1.27,0.04,4.42,0.39
180,-0.73,0.18,1.96,0.24,1.54,0.17,0.66,0.07,0.94,0.03,1.32,0.04,2.36,0.86
181,-0.49,0.23,1.55,0.13,1.24,0.12,0.69,0.08,0.94,0.04,1.31,0.04,3.19,0.74
189,0.28,0.39,2.74,0.43,1.95,0.28,0.49,0.11,0.76,0.14,1.13,0.06,8.72,1.33
196,0.78,1.36,9.88,1.89,7.17,1.19,0.64,0.03,0.44,0.08,0.11,0.01,9.29,8.23
197,0.87,0.97,10.6,1.15,7.74,0.68,0.62,0.05,0.38,0.07,0.04,0.01,10.29,2.07
529,0.26,0.3,2.39,0.34,1.82,0.25,0.6,0.07,0.85,0.05,1.13,0.05,6.83,0.69
542,-0.10,0.29,1.89,0.26,1.3,0.18,0.64,0.07,0.9,0.07,1.04,0.04,5.24,0.26
543,0.35,0.18,1.8,0.22,1.35,0.15,0.64,0.05,0.9,0.06,0.98,0.04,5.44,0.92
544,0.37,0.18,1.26,0.15,1.0,0.09,0.77,0.03,0.95,0.01,1.12,0.04,4.22,0.2
545,1.04,0.25,2.96,0.28,2.32,0.21,0.47,0.11,0.73,0.13,0.64,0.07,8.02,1.73
548,1.29,0.31,2.8,0.49,2.08,0.31,0.54,0.11,0.83,0.13,0.57,0.07,9.22,0.91
561,-0.22,0.26,1.58,0.34,1.08,0.19,0.77,0.03,0.94,0.02,1.23,0.04,2.6,1.47
562,0.67,0.21,1.68,0.13,1.45,0.13,0.73,0.06,0.92,0.02,1.01,0.06,3.66,0.6
563,-0.16,0.26,2.49,0.28,1.87,0.23,0.5,0.09,0.78,0.03,0.95,0.09,7.3,0.4
564,0.26,0.29,2.82,0.34,2.21,0.25,0.43,0.11,0.77,0.08,0.85,0.04,8.66,1.14
565,0.48,0.17,1.3,0.2,0.98,0.15,0.77,0.04,0.95,0.02,0.93,0.05,4.34,0.47
566,0.34,0.14,1.23,0.16,0.94,0.11,0.78,0.04,0.95,0.01,0.95,0.07,4.22,0.25
567,-0.69,0.21,2.34,0.32,1.72,0.19,0.63,0.05,0.83,0.04,0.62,0.09,9.72,0.61
568,-0.87,0.18,1.56,0.11,1.21,0.11,0.76,0.05,0.94,0.02,0.83,0.05,2.72,0.15
570,-2.48,0.33,3.27,0.41,2.53,0.31,0.72,0.05,0.88,0.04,0.36,0.05,0.55,0.57
572,-0.68,0.18,2.24,0.32,1.64,0.22,0.63,0.09,0.84,0.03,0.66,0.07,9.12,0.24
573,-0.85,0.16,1.46,0.13,1.15,0.12,0.78,0.06,0.95,0.03,0.83,0.07,1.92,0.54
575,-0.81,0.25,2.11,0.35,1.59,0.19,0.67,0.09,0.89,0.05,0.6,0.07,3.16,1.33
582,0.27,1.01,4.5,0.79,3.25,0.59,0.67,0.11,0.84,0.05,0.55,0.09,8.5,2.49
